,intolerance_1,intolerance_2,minority_pc_1,minority_pc_2,Run,Avg pct similar neighbors (A) dim 1,Avg pct similar neighbors (A) dim 2,Avg pct similar neighbors (B) dim 1,Avg pct similar neighbors (B) dim 2,Pct Happy,Pct Happy Group A dim 1,Pct Happy Group A dim 2,Pct Happy Group B dim 1,Pct Happy Group B dim 2,height,width,num_agents,stopping_level
76,0.125,0.25,0.30000000000000004,0.30000000000000004,76,100.0,74.5,37.2,47.9,100.0,100.0,100.0,100.0,100.0,16,16,200,1
77,0.125,0.25,0.30000000000000004,0.30000000000000004,77,100.0,72.6,42.6,44.2,100.0,100.0,100.0,100.0,100.0,16,16,200,1
78,0.125,0.25,0.30000000000000004,0.30000000000000004,78,100.0,74.2,35.2,48.6,100.0,100.0,100.0,100.0,100.0,16,16,200,1
79,0.125,0.25,0.30000000000000004,0.30000000000000004,79,100.0,72.7,36.0,45.5,100.0,100.0,100.0,100.0,100.0,16,16,200,1
80,0.125,0.25,0.4,0.4,80,100.0,63.4,47.6,50.8,100.0,100.0,100.0,100.0,100.0,16,16,200,1
81,0.125,0.25,0.4,0.4,81,100.0,65.7,42.3,52.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
82,0.125,0.25,0.4,0.4,82,100.0,63.6,42.4,48.5,100.0,100.0,100.0,100.0,100.0,16,16,200,1
83,0.125,0.25,0.4,0.4,83,100.0,64.8,42.0,52.3,100.0,100.0,100.0,100.0,100.0,16,16,200,1
84,0.125,0.25,0.4,0.4,84,100.0,67.6,44.8,54.0,100.0,100.0,100.0,100.0,100.0,16,16,200,1
85,0.125,0.25,0.4,0.4,85,100.0,69.4,44.9,57.5,100.0,100.0,100.0,100.0,100.0,16,16,200,1
86,0.125,0.25,0.4,0.4,86,100.0,65.9,41.0,55.7,100.0,100.0,100.0,100.0,100.0,16,16,200,1
87,0.125,0.25,0.4,0.4,87,100.0,71.4,41.8,60.1,100.0,100.0,100.0,100.0,100.0,16,16,200,1
88,0.125,0.25,0.4,0.4,88,100.0,68.0,43.2,57.0,100.0,100.0,100.0,100.0,100.0,16,16,200,1
89,0.125,0.25,0.4,0.4,89,100.0,72.6,48.0,61.6,100.0,100.0,100.0,100.0,100.0,16,16,200,1
90,0.125,0.25,0.5,0.5,90,100.0,55.2,49.9,52.0,100.0,100.0,100.0,100.0,100.0,16,16,200,1
91,0.125,0.25,0.5,0.5,91,100.0,63.3,50.2,61.1,100.0,100.0,100.0,100.0,100.0,16,16,200,1
92,0.125,0.25,0.5,0.5,92,100.0,58.4,51.9,58.5,100.0,100.0,100.0,100.0,100.0,16,16,200,1
93,0.125,0.25,0.5,0.5,93,100.0,61.9,51.5,62.7,100.0,100.0,100.0,100.0,100.0,16,16,200,1
94,0.125,0.25,0.5,0.5,94,100.0,56.9,53.6,56.7,100.0,100.0,100.0,100.0,100.0,16,16,200,1
95,0.125,0.25,0.5,0.5,95,100.0,67.9,50.1,69.1,100.0,100.0,100.0,100.0,100.0,16,16,200,1
96,0.125,0.25,0.5,0.5,96,100.0,60.1,47.8,57.9,100.0,100.0,100.0,100.0,100.0,16,16,200,1
97,0.125,0.25,0.5,0.5,97,100.0,62.8,47.6,60.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
98,0.125,0.25,0.5,0.5,98,100.0,58.6,52.5,57.8,100.0,100.0,100.0,100.0,100.0,16,16,200,1
99,0.125,0.25,0.5,0.5,99,100.0,63.9,48.7,66.7,100.0,100.0,100.0,100.0,100.0,16,16,200,1
100,0.125,0.375,0.1,0.1,100,100.0,92.2,23.2,35.9,94.5,96.1,100.0,80.0,45.0,16,16,200,1
101,0.125,0.375,0.1,0.1,101,100.0,90.1,15.6,16.5,92.5,96.1,100.0,60.0,25.0,16,16,200,1
102,0.125,0.375,0.1,0.1,102,100.0,93.0,19.2,42.7,95.5,98.3,100.0,70.0,55.0,16,16,200,1
103,0.125,0.375,0.1,0.1,103,100.0,90.2,16.1,16.3,92.0,95.0,100.0,65.0,20.0,16,16,200,1
104,0.125,0.375,0.1,0.1,104,100.0,89.9,21.3,20.9,93.0,96.7,100.0,60.0,30.0,16,16,200,1
105,0.125,0.375,0.1,0.1,105,100.0,92.0,28.3,28.0,94.0,96.1,100.0,75.0,40.0,16,16,200,1
106,0.125,0.375,0.1,0.1,106,100.0,91.2,33.6,26.3,93.5,95.6,100.0,75.0,35.0,16,16,200,1
107,0.125,0.375,0.1,0.1,107,100.0,91.7,17.9,27.7,93.5,96.7,100.0,65.0,35.0,16,16,200,1
108,0.125,0.375,0.1,0.1,108,100.0,93.6,29.3,41.9,95.5,97.2,100.0,80.0,55.0,16,16,200,1
109,0.125,0.375,0.1,0.1,109,100.0,94.3,30.6,55.6,98.5,98.9,100.0,95.0,85.0,16,16,200,1
110,0.125,0.375,0.2,0.2,110,100.0,87.5,40.0,59.2,98.5,98.8,100.0,97.5,92.5,16,16,200,1
111,0.125,0.375,0.2,0.2,111,100.0,86.6,31.5,55.9,97.0,98.8,100.0,90.0,85.0,16,16,200,1
112,0.125,0.375,0.2,0.2,112,100.0,95.0,37.0,82.1,100.0,100.0,100.0,100.0,100.0,16,16,200,1
113,0.125,0.375,0.2,0.2,113,100.0,90.0,31.9,64.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
114,0.125,0.375,0.2,0.2,114,100.0,92.5,34.0,72.9,99.5,100.0,100.0,97.5,97.5,16,16,200,1
115,0.125,0.375,0.2,0.2,115,100.0,85.1,30.8,47.4,94.0,97.5,100.0,80.0,70.0,16,16,200,1
116,0.125,0.375,0.2,0.2,116,100.0,87.5,30.8,58.5,98.0,98.8,100.0,95.0,90.0,16,16,200,1
117,0.125,0.375,0.2,0.2,117,100.0,88.6,32.4,59.9,96.5,98.1,100.0,90.0,82.5,16,16,200,1
118,0.125,0.375,0.2,0.2,118,100.0,88.4,41.2,60.5,96.5,96.9,100.0,95.0,82.5,16,16,200,1
119,0.125,0.375,0.2,0.2,119,100.0,89.4,37.1,67.7,98.5,98.1,100.0,100.0,92.5,16,16,200,1
120,0.125,0.375,0.30000000000000004,0.30000000000000004,120,100.0,86.1,34.7,70.7,100.0,100.0,100.0,100.0,100.0,16,16,200,1
121,0.125,0.375,0.30000000000000004,0.30000000000000004,121,100.0,83.6,43.5,66.7,100.0,100.0,100.0,100.0,100.0,16,16,200,1
122,0.125,0.375,0.30000000000000004,0.30000000000000004,122,100.0,86.1,39.7,73.0,100.0,100.0,100.0,100.0,100.0,16,16,200,1
123,0.125,0.375,0.30000000000000004,0.30000000000000004,123,100.0,87.2,42.4,73.9,100.0,100.0,100.0,100.0,100.0,16,16,200,1
124,0.125,0.375,0.30000000000000004,0.30000000000000004,124,100.0,88.0,37.7,75.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
125,0.125,0.375,0.30000000000000004,0.30000000000000004,125,100.0,86.0,39.6,72.1,100.0,100.0,100.0,100.0,100.0,16,16,200,1
126,0.125,0.375,0.30000000000000004,0.30000000000000004,126,100.0,84.9,40.2,70.6,100.0,100.0,100.0,100.0,100.0,16,16,200,1
127,0.125,0.375,0.30000000000000004,0.30000000000000004,127,100.0,89.7,36.9,77.5,100.0,100.0,100.0,100.0,100.0,16,16,200,1
128,0.125,0.375,0.30000000000000004,0.30000000000000004,128,100.0,81.4,40.9,63.0,100.0,100.0,100.0,100.0,100.0,16,16,200,1
129,0.125,0.375,0.30000000000000004,0.30000000000000004,129,100.0,80.9,40.4,62.7,97.5,99.3,100.0,93.3,91.7,16,16,200,1
130,0.125,0.375,0.4,0.4,130,100.0,85.1,38.0,78.0,100.0,100.0,100.0,100.0,100.0,16,16,200,1
131,0.125,0.375,0.4,0.4,131,100.0,83.5,41.9,76.2,100.0,100.0,100.0,100.0,100.0,16,16,200,1
132,0.125,0.375,0.4,0.4,132,100.0,85.8,44.1,78.9,100.0,100.0,100.0,100.0,100.0,16,16,200,1
133,0.125,0.375,0.4,0.4,133,100.0,80.6,44.8,71.2,100.0,100.0,100.0,100.0,100.0,16,16,200,1
134,0.125,0.375,0.4,0.4,134,100.0,81.1,45.5,73.9,100.0,100.0,100.0,100.0,100.0,16,16,200,1
135,0.125,0.375,0.4,0.4,135,100.0,83.8,42.2,78.6,100.0,100.0,100.0,100.0,100.0,16,16,200,1
136,0.125,0.375,0.4,0.4,136,100.0,81.2,41.6,73.7,100.0,100.0,100.0,100.0,100.0,16,16,200,1
137,0.125,0.375,0.4,0.4,137,100.0,80.3,44.2,74.3,100.0,100.0,100.0,100.0,100.0,16,16,200,1
138,0.125,0.375,0.4,0.4,138,100.0,79.7,45.2,73.2,100.0,100.0,100.0,100.0,100.0,16,16,200,1
139,0.125,0.375,0.4,0.4,139,100.0,82.8,44.8,76.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
140,0.125,0.375,0.5,0.5,140,100.0,80.4,48.6,82.3,100.0,100.0,100.0,100.0,100.0,16,16,200,1
141,0.125,0.375,0.5,0.5,141,100.0,83.0,55.7,84.5,100.0,100.0,100.0,100.0,100.0,16,16,200,1
142,0.125,0.375,0.5,0.5,142,100.0,80.5,54.8,80.8,100.0,100.0,100.0,100.0,100.0,16,16,200,1
143,0.125,0.375,0.5,0.5,143,100.0,80.4,50.2,81.3,100.0,100.0,100.0,100.0,100.0,16,16,200,1
144,0.125,0.375,0.5,0.5,144,100.0,76.8,53.1,77.1,100.0,100.0,100.0,100.0,100.0,16,16,200,1
145,0.125,0.375,0.5,0.5,145,100.0,81.1,53.2,82.9,100.0,100.0,100.0,100.0,100.0,16,16,200,1
146,0.125,0.375,0.5,0.5,146,100.0,76.8,50.6,77.9,100.0,100.0,100.0,100.0,100.0,16,16,200,1
147,0.125,0.375,0.5,0.5,147,100.0,79.6,55.9,79.0,100.0,100.0,100.0,100.0,100.0,16,16,200,1
148,0.125,0.375,0.5,0.5,148,100.0,78.7,48.9,79.7,100.0,100.0,100.0,100.0,100.0,16,16,200,1
149,0.125,0.375,0.5,0.5,149,100.0,85.5,49.1,85.1,100.0,100.0,100.0,100.0,100.0,16,16,200,1
150,0.125,0.5,0.1,0.1,150,100.0,93.2,16.5,15.0,89.5,94.4,99.4,45.0,0.0,16,16,200,1
151,0.125,0.5,0.1,0.1,151,100.0,91.9,31.1,13.4,90.0,94.4,100.0,50.0,0.0,16,16,200,1
152,0.125,0.5,0.1,0.1,152,100.0,93.2,20.0,21.0,90.0,94.4,100.0,50.0,0.0,16,16,200,1
153,0.125,0.5,0.1,0.1,153,100.0,94.9,21.6,27.7,90.0,94.4,100.0,50.0,0.0,16,16,200,1
154,0.125,0.5,0.1,0.1,154,100.0,93.9,34.2,31.2,90.5,94.4,100.0,55.0,5.0,16,16,200,1
155,0.125,0.5,0.1,0.1,155,100.0,93.8,21.3,17.5,90.0,94.4,100.0,50.0,0.0,16,16,200,1
156,0.125,0.5,0.1,0.1,156,100.0,94.9,28.0,41.6,90.5,95.0,100.0,50.0,5.0,16,16,200,1
157,0.125,0.5,0.1,0.1,157,100.0,94.2,19.7,32.0,90.5,95.0,100.0,50.0,5.0,16,16,200,1
158,0.125,0.5,0.1,0.1,158,100.0,92.9,22.4,18.4,91.5,95.0,100.0,60.0,15.0,16,16,200,1
159,0.125,0.5,0.1,0.1,159,100.0,94.7,15.8,25.8,90.0,94.4,100.0,50.0,0.0,16,16,200,1
160,0.125,0.5,0.2,0.2,160,100.0,91.3,26.9,55.1,90.0,90.6,100.0,87.5,50.0,16,16,200,1
161,0.125,0.5,0.2,0.2,161,100.0,96.0,31.0,80.5,97.5,98.8,100.0,92.5,87.5,16,16,200,1
162,0.125,0.5,0.2,0.2,162,100.0,95.6,37.8,81.6,99.5,99.4,100.0,100.0,97.5,16,16,200,1
163,0.125,0.5,0.2,0.2,163,100.0,95.6,33.1,79.2,96.0,98.1,100.0,87.5,80.0,16,16,200,1
164,0.125,0.5,0.2,0.2,164,100.0,93.3,31.1,75.0,94.5,99.4,100.0,75.0,72.5,16,16,200,1
165,0.125,0.5,0.2,0.2,165,100.0,92.9,30.7,74.7,96.5,98.1,100.0,90.0,82.5,16,16,200,1
166,0.125,0.5,0.2,0.2,166,100.0,97.3,35.2,85.7,97.0,99.4,100.0,87.5,85.0,16,16,200,1
167,0.125,0.5,0.2,0.2,167,100.0,94.9,33.7,79.7,96.5,97.5,100.0,92.5,82.5,16,16,200,1
168,0.125,0.5,0.2,0.2,168,100.0,92.4,38.2,69.6,93.5,95.6,100.0,85.0,67.5,16,16,200,1
169,0.125,0.5,0.2,0.2,169,100.0,96.1,42.3,82.9,98.0,99.4,100.0,92.5,90.0,16,16,200,1
170,0.125,0.5,0.30000000000000004,0.30000000000000004,170,100.0,96.0,40.0,90.8,99.0,99.3,100.0,98.3,96.7,16,16,200,1
171,0.125,0.5,0.30000000000000004,0.30000000000000004,171,100.0,96.0,46.2,89.4,97.0,95.7,100.0,100.0,90.0,16,16,200,1
172,0.125,0.5,0.30000000000000004,0.30000000000000004,172,100.0,91.7,37.1,81.3,98.0,98.6,100.0,96.7,93.3,16,16,200,1
173,0.125,0.5,0.30000000000000004,0.30000000000000004,173,100.0,94.2,39.5,85.8,97.5,97.1,100.0,98.3,91.7,16,16,200,1
174,0.125,0.5,0.30000000000000004,0.30000000000000004,174,100.0,94.5,39.7,86.9,97.0,98.6,100.0,93.3,90.0,16,16,200,1
175,0.125,0.5,0.30000000000000004,0.30000000000000004,175,100.0,96.6,40.3,92.7,99.5,100.0,100.0,98.3,98.3,16,16,200,1
176,0.125,0.5,0.30000000000000004,0.30000000000000004,176,100.0,94.6,37.3,86.8,97.5,98.6,100.0,95.0,91.7,16,16,200,1
177,0.125,0.5,0.30000000000000004,0.30000000000000004,177,100.0,94.3,40.0,85.6,97.0,99.3,100.0,91.7,90.0,16,16,200,1
178,0.125,0.5,0.30000000000000004,0.30000000000000004,178,100.0,94.4,37.0,86.2,99.0,100.0,100.0,96.7,96.7,16,16,200,1
179,0.125,0.5,0.30000000000000004,0.30000000000000004,179,100.0,96.1,41.6,90.3,99.5,100.0,100.0,98.3,98.3,16,16,200,1
180,0.125,0.5,0.4,0.4,180,100.0,95.7,48.9,93.4,100.0,100.0,100.0,100.0,100.0,16,16,200,1
181,0.125,0.5,0.4,0.4,181,100.0,95.8,45.3,93.3,100.0,100.0,100.0,100.0,100.0,16,16,200,1
182,0.125,0.5,0.4,0.4,182,100.0,94.9,46.3,92.9,100.0,100.0,100.0,100.0,100.0,16,16,200,1
183,0.125,0.5,0.4,0.4,183,100.0,94.9,47.0,92.4,99.0,99.2,100.0,98.8,97.5,16,16,200,1
184,0.125,0.5,0.4,0.4,184,100.0,94.6,42.8,92.1,98.0,99.2,100.0,96.2,95.0,16,16,200,1
185,0.125,0.5,0.4,0.4,185,100.0,94.2,44.3,90.5,99.5,99.2,99.2,100.0,100.0,16,16,200,1
186,0.125,0.5,0.4,0.4,186,100.0,94.0,46.7,90.2,100.0,100.0,100.0,100.0,100.0,16,16,200,1
187,0.125,0.5,0.4,0.4,187,100.0,89.9,43.4,83.9,100.0,100.0,100.0,100.0,100.0,16,16,200,1
188,0.125,0.5,0.4,0.4,188,100.0,92.9,41.9,90.0,99.5,100.0,100.0,98.8,98.8,16,16,200,1
